B,C,trial,stability_min_eig
1,17,3,-0.24889992202544353
1,17,4,-0.06027839590390247
1,18,0,-0.028323955974444665
1,18,1,-5.882578595231827e-16
1,18,2,-1.139842848533304e-15
1,18,3,-0.060602729869979374
1,18,4,-4.94384445737798e-16
1,19,0,-4.925384024928076e-16
1,19,1,-0.10865327055421965
1,19,2,-0.020772702031528208
1,19,3,-1.2355238335864333e-15
1,19,4,-9.215874340047827e-16
1,20,0,-7.516156443460077e-16
1,20,1,-0.1153951365914285
1,20,2,-4.0606193069194913e-16
1,20,3,-1.468209599760817e-15
1,20,4,-0.05238966984581077
1,21,0,-1.2214415668843123e-15
1,21,1,-9.609544788002624e-16
1,21,2,-6.357010014957455e-16
1,21,3,-1.2273189767992195e-15
1,21,4,-6.560447380040963e-16
1,22,0,-1.0523553534935755e-15
1,22,1,-9.761069423232482e-16
1,22,2,-5.661024500455885e-16
1,22,3,-1.7542256571641345e-15
1,22,4,-7.34347565770367e-16
1,23,0,-1.2423335802847395e-15
1,23,1,-1.1281553988687895e-15
1,23,2,-0.22766376673010805
1,23,3,-9.293381609584175e-16
1,23,4,-1.3723482293579073e-15
1,24,0,-5.830098994020756e-16
1,24,1,-9.141036435821662e-16
1,24,2,-1.1397137177924988e-15
1,24,3,-6.82280056431096e-16
1,24,4,-7.668196028646316e-16
2,4,0,-0.5092318445540667
2,4,1,-0.45662669976308345
2,4,2,-0.3860444733134631
2,4,3,-0.3753549083797933
2,4,4,-0.45412015537340394
2,5,0,-0.3813515634385207
2,5,1,-0.5246941241215247
2,5,2,-0.43600730843128555
2,5,3,-0.39014564694275167
2,5,4,-0.4437126740883936
2,6,0,-0.40029257151447273
2,6,1,-0.3878158964191171
2,6,2,-0.5804861493203931
2,6,3,-0.4562515812301407
2,6,4,-0.2449244022962766
2,7,0,-0.337225282585288
2,7,1,-0.2849638945317208
2,7,2,-0.294399084619633
2,7,3,-0.46216367914716106
2,7,4,-0.3728511506807981
2,8,0,-0.4417914579257335
2,8,1,-0.43389435866743087
2,8,2,-0.4721272154979338
2,8,3,-0.43596611848943884
2,8,4,-0.4767371832296946
2,9,0,-0.506467550542111
2,9,1,-0.3931574823017747
2,9,2,-0.40749731208946616
2,9,3,-0.3867526211409551
2,9,4,-0.34773919336299347
2,10,0,-0.2996460693509749
2,10,1,-0.33468435706273847
2,10,2,-0.322200474877751
2,10,3,-0.22626873280052934
2,10,4,-0.2329423807192859
2,11,0,-0.3580914504722868
2,11,1,-0.18478807679137116
2,11,2,-0.3300766661981321
2,11,3,-0.2652270693261055
2,11,4,-0.31351736114380996
2,12,0,-0.12930392011057706
2,12,1,-0.29426628106453967
2,12,2,-0.3363339941906419
2,12,3,-0.21608059291153334
2,12,4,-0.16790260135548174
2,13,0,-0.273974427393124
2,13,1,-0.16593500517409415
2,13,2,-0.20716276247498294
2,13,3,-0.28546225553017196
2,13,4,-0.1631364914166988
2,14,0,-0.05627959248693003
2,14,1,-0.0459932561948562
2,14,2,-0.26273148607024477
2,14,3,-0.17524715346083586
2,14,4,-0.08700716271198992
2,15,0,-0.5647397063308643
2,15,1,-9.574735200223336e-16
2,15,2,-0.10702082640512038
2,15,3,-0.21983499485025443
2,15,4,-0.16094546688554112
2,16,0,-0.22116842847956567
2,16,1,-0.22221213981747429
2,16,2,-0.37907494180008056
2,16,3,-0.009189394466548494
2,16,4,-1.4140364469829717e-15
2,17,0,-0.22536099590179037
2,17,1,-0.18939951333290939
2,17,2,-0.07964290156230314
2,17,3,-0.12769735572422117
2,17,4,-0.262091660044251
2,18,0,-0.17590914640104088
2,18,1,-0.02456528411149132
2,18,2,-0.3187966291997523
