B,C,trial,stability_min_eig
8,18,0,-0.1930652601660085
8,18,1,-0.4558456038116857
8,18,2,-0.08458744291334447
8,18,3,-0.08627606660876971
8,18,4,-0.03346659493418041
8,19,0,-1.798701905085915e-15
8,19,1,-1.850556167252383e-15
8,19,2,-1.0542457369670693e-15
8,19,3,-0.10364370359460114
8,19,4,-2.65744313639046e-15
8,20,0,-3.4505940976397108e-15
8,20,1,-0.07878054708423518
8,20,2,-0.034497688268149064
8,20,3,-1.7531416191908358e-15
8,20,4,-3.0743239063626506e-15
